User,Campaign,crm_Campagne_Naam_in_email,Likelihood
01B45481-0877-E911-80FE-001DD8B72B62,9E035210-EE90-E911-80FF-001DD8B72B62,Lunchmeeting scale-ups vs Sofie Bracke,100
01B45481-0877-E911-80FE-001DD8B72B62,037E70BA-6D2F-E911-80FB-001DD8B72B62,Lunchmeeting scale-ups vs Sofie Bracke,100
01B45481-0877-E911-80FE-001DD8B72B62,F865B494-FC2F-EC11-8127-001DD8B72B62,Voka Vaart - Vaartmakers - Fototentoonstelling aankoop,100
01B45481-0877-E911-80FE-001DD8B72B62,831B0DB1-1C8E-EA11-810F-001DD8B72B61,Round Table Lobby Niko Demeester - 3 juni 2020,100
01B45481-0877-E911-80FE-001DD8B72B62,53D87EB7-CE48-EA11-810B-001DD8B72B61,Lunchmeeting Lobby met Niko Demeester - 27 augustus 2020,100
01B45481-0877-E911-80FE-001DD8B72B62,D889580A-475D-EA11-810D-001DD8B72B61,OV-NW-Voka Update-AIO-Feb2020-Crowdlending: het ontbrekende stukje in de financieringsmix,100
01B45481-0877-E911-80FE-001DD8B72B62,C597C0F9-0851-EC11-8C62-000D3ABFCE8D,Lunch Nieuwe leden cat 5-6 op 9 december 2021 in de Voka Box,100
01B45481-0877-E911-80FE-001DD8B72B62,AB87CF2F-64B4-E911-8104-001DD8B72B61,Lunchmeeting Niko Demeester,100
01B45481-0877-E911-80FE-001DD8B72B62,E0D52A03-435D-EA11-810D-001DD8B72B61,OV-NW-Voka Update-AIO-Feb2020-7 principes voor succesvol beleggen,100
01B45481-0877-E911-80FE-001DD8B72B62,84F841B9-CC43-ED11-BBA2-6045BD8956C9,Lunchmeeting met Frank Beckx op 3 maart 2023,100
01B45481-0877-E911-80FE-001DD8B72B62,D80F8A62-D7F0-EA11-8115-001DD8B72B62,OV-NW-Voka Update-2020-AIO-Goede cybersecurity zonder bewuste medewerkers is valse veiligheid,100
01B45481-0877-E911-80FE-001DD8B72B62,42C78CA4-1299-EA11-8111-001DD8B72B62,Round Table Lobby Niko Demeester - 24 Juni 2020,100
01B45481-0877-E911-80FE-001DD8B72B62,35FBBE79-141E-E911-80FA-001DD8B72B62,Lunchmeeting Niko Demeester,100
