User,Campaign,crm_Campagne_Naam_in_email,Likelihood
0005D759-A56F-E111-B43A-00505680000A,65D1FD1D-921B-EC11-8123-001DD8B72B61,Nocturne Voka Vaart met bezoek Vaartmakers en optreden sopraan Elise Caluwaerts,99.49745050841861
0005D759-A56F-E111-B43A-00505680000A,69B6574B-B965-EA11-810F-001DD8B72B62,Voka XpertFinder - Digitalisering,99.38860150259684
0005D759-A56F-E111-B43A-00505680000A,B422A5B1-BBC7-ED11-B597-6045BD895BFB,Quick Refresh - webinar: Opleidingsplan met Anneleen Verstraeten (SD Worx),99.3331581319365
0005D759-A56F-E111-B43A-00505680000A,CBEE5437-9928-EB11-8117-001DD8B72B62,Voka Big Refresh - Helemaal Digitaal op donderdag 11 februari,99.33026193080025
0005D759-A56F-E111-B43A-00505680000A,784EFAEF-AF36-EA11-810A-001DD8B72B61,Voka Netwekkers Digitaal - 10 juni 2020,99.29359518380654
0005D759-A56F-E111-B43A-00505680000A,75DB76CE-0219-EB11-8115-001DD8B72B61,Voka Netwekkers - Digitaal en grensoverschrijdend,98.93798021372756
0005D759-A56F-E111-B43A-00505680000A,B9F5EA1B-189A-EC11-B400-0022488005A7,Voka op bezoek bij Libert Paints op dinsdag 5 juli,98.92345560954968
0005D759-A56F-E111-B43A-00505680000A,C842861B-9AA0-ED11-AAD1-6045BD895B5A,OV-NW/AO-AIO-Matchmaking-XpertFinder-HRTech-voorjaar 2023,98.87330083092245
0005D759-A56F-E111-B43A-00505680000A,C693DACA-04CF-ED11-B597-6045BD895805,Rode Loper Selectie: Gent Jazz: Openingsavond met Gregory Porter,98.85082600162025
0005D759-A56F-E111-B43A-00505680000A,FABFC414-9011-ED11-B83D-000D3A43E419,Voka Politica Destelbergen - dinsdag 4 oktober 2022,98.527380382746
0005D759-A56F-E111-B43A-00505680000A,F9D5302F-D5F0-EA11-8115-001DD8B72B62,OV-NW-Voka Update-2020-AIO-Lunch rond macro-economische vooruitzichten voor 2020-2021,98.47977669281839
0005D759-A56F-E111-B43A-00505680000A,3C95AC10-7248-EC11-8C62-6045BD8D2834,Voka op bezoek bij Deroose Plants | Exotic Plant - Donderdag 17 februari 2022,98.33332723423585
0005D759-A56F-E111-B43A-00505680000A,0728E9C1-0494-EA11-810F-001DD8B72B61,Voka Netwekkers - Fysiek én Digitaal - 8 juli 2020,98.30005799994215
0005D759-A56F-E111-B43A-00505680000A,A37966A8-0D7C-EB11-811D-001DD8B72B62,Voka Netwekkers Digitaal met Vlaams-Brabant,98.09207034445893
0005D759-A56F-E111-B43A-00505680000A,426FCACD-A56A-EB11-8119-001DD8B72B61,Welkom@Voka op 16 november 2021,98.08153560997887
0005D759-A56F-E111-B43A-00505680000A,992CC4DE-B05E-EA11-810F-001DD8B72B62,OV-NW-Voka Update-AIO-Feb2020-Digitale Marketing als onderdeel van de bedrijfsstrategie,98.07042098274648
0005D759-A56F-E111-B43A-00505680000A,E8411CE8-2B94-EA11-810F-001DD8B72B61,Lunchmeeting scale-ups vs Filip Watteeuw,97.998768160402
0005D759-A56F-E111-B43A-00505680000A,A5B0BF58-09EC-E811-80F8-001DD8B72B61,Lunchmeeting Niko Demeester,97.98420738623437
0005D759-A56F-E111-B43A-00505680000A,D889580A-475D-EA11-810D-001DD8B72B61,OV-NW-Voka Update-AIO-Feb2020-Crowdlending: het ontbrekende stukje in de financieringsmix,97.95424954505584
0005D759-A56F-E111-B43A-00505680000A,42C78CA4-1299-EA11-8111-001DD8B72B62,Round Table Lobby Niko Demeester - 24 Juni 2020,97.95408644731502
0005D759-A56F-E111-B43A-00505680000A,738E8376-4C29-E911-80FB-001DD8B72B62,OV-NW-Voka Vista,97.80062357906918
0005D759-A56F-E111-B43A-00505680000A,E9C59F31-6C6F-EB11-811C-001DD8B72B62,Voka Netwekkers Thema Duurzaam,97.78499809729931
0005D759-A56F-E111-B43A-00505680000A,96C4B086-AFF3-EC11-BB3D-000D3A492DF1,Voka|VeGHO Portlunch met Vincent Van Peteghem,97.71483153947244
0005D759-A56F-E111-B43A-00505680000A,A8190EB8-97F7-EC11-BB3D-0022488401C6,Voka Visit - Taminco/eastman in de Gentse haven op donderdag 6 oktober,97.70938088626622
0005D759-A56F-E111-B43A-00505680000A,DC29A7EA-33D9-E911-8105-001DD8B72B61,OV-NW-Voka Update-AIO-Sep2019-Hoe digitalisering de menselijke factor in HR ondersteunt,97.65871720418637
0005D759-A56F-E111-B43A-00505680000A,292AFF3C-DFFD-EC11-82E5-000D3A3A3AC2,OV-NW-Voka Politica Gent 2022,97.55503086107035
0005D759-A56F-E111-B43A-00505680000A,08C08CAD-E3EB-E811-80F8-001DD8B72B61,Big Refresh - De grote voorjaarsupdate,97.54967295514597
0005D759-A56F-E111-B43A-00505680000A,A4658A7D-3629-E911-80FB-001DD8B72B62,Big Refresh - De grote najaarsupdate,97.4952034014738
0005D759-A56F-E111-B43A-00505680000A,7EFDC813-4DBA-EC11-983F-6045BD8C5B6B,Lunchmeeting met Banque de Luxembourg - woensdag 15 juni,97.40256413976273
0005D759-A56F-E111-B43A-00505680000A,AB87CF2F-64B4-E911-8104-001DD8B72B61,Lunchmeeting Niko Demeester,97.39869193142094
0005D759-A56F-E111-B43A-00505680000A,67CC5025-D032-EA11-810B-001DD8B72B62,Voka Netwekkers Oost meets West bij AAROVA Events,97.30446286933788
