User,Campaign,crm_Campagne_Naam_in_email,Likelihood
00228AA5-78F0-E311-956D-005056B06EB4,F9D5302F-D5F0-EA11-8115-001DD8B72B62,OV-NW-Voka Update-2020-AIO-Lunch rond macro-economische vooruitzichten voor 2020-2021,99.1378353634267
00228AA5-78F0-E311-956D-005056B06EB4,AB87CF2F-64B4-E911-8104-001DD8B72B61,Lunchmeeting Niko Demeester,99.12949561040462
00228AA5-78F0-E311-956D-005056B06EB4,A8E9A12F-6D6F-EB11-811C-001DD8B72B62,Voka Netwekkers te gast bij Decola in Maldegem,99.07312875619448
00228AA5-78F0-E311-956D-005056B06EB4,50E89F83-32D9-E911-8105-001DD8B72B61,OV-NW-Voka Update-AIO-Sep2019-EconomischeVooruitzichtenVoorBelgischBeleid,99.01574068765213
00228AA5-78F0-E311-956D-005056B06EB4,B0D59BB6-5F96-ED11-AAD1-6045BD895D85,Voka Netwekkers te gast bij m-accent,98.97240741599622
00228AA5-78F0-E311-956D-005056B06EB4,CFEEE5D6-5A5D-EA11-810D-001DD8B72B61,OV-NW-Voka Update-AIO-Sep2019-Aandachtspunten bij het afsluiten van overeenkomsten anno 2020,98.92333417883849
00228AA5-78F0-E311-956D-005056B06EB4,65D1FD1D-921B-EC11-8123-001DD8B72B61,Nocturne Voka Vaart met bezoek Vaartmakers en optreden sopraan Elise Caluwaerts,98.83750083946491
00228AA5-78F0-E311-956D-005056B06EB4,C6D72260-E451-EC11-8C62-000D3ABFCF4A,De grote voorjaarsupdate van 2022 - Voka's Big Refresh,98.83575514136395
00228AA5-78F0-E311-956D-005056B06EB4,7B62B114-920B-EA11-8107-001DD8B72B61,Voka Netwekkers te gast bij O'Learys,98.79796259089461
00228AA5-78F0-E311-956D-005056B06EB4,29C955B8-CEB9-ED11-83FF-6045BD8952CE,Welkom@Voka - dinsdag 20 juni,98.7435266724901
00228AA5-78F0-E311-956D-005056B06EB4,1DA71D0D-8A84-EA11-8110-001DD8B72B62,Voka Netwekkers Digitaal - 6 mei 2020,98.64155310962248
00228AA5-78F0-E311-956D-005056B06EB4,8464067E-9DDA-EC11-BB3D-6045BD8B2E69,Ontbijtsessie kennismaking The Loop - Maandag 13 juni,98.58151235151904
00228AA5-78F0-E311-956D-005056B06EB4,0F57AC8B-EFBA-EC11-983F-6045BD8C52BD,Voka Politica - Maldegem 9 juni 2022,98.56009987580248
00228AA5-78F0-E311-956D-005056B06EB4,5BF7B3A4-3A77-EB11-811A-001DD8B72B61,OV-NW-AIO-MatchMaking-Voka XpertFinder1-Digitalisering-Maart2021,98.50581326896918
00228AA5-78F0-E311-956D-005056B06EB4,C9025DC3-C7C4-EC11-A7B6-000D3A497E09,Gent Jazz - Agnes Obel,98.41165287177904
00228AA5-78F0-E311-956D-005056B06EB4,A5B0BF58-09EC-E811-80F8-001DD8B72B61,Lunchmeeting Niko Demeester,98.30316812147646
00228AA5-78F0-E311-956D-005056B06EB4,E8411CE8-2B94-EA11-810F-001DD8B72B61,Lunchmeeting scale-ups vs Filip Watteeuw,98.21010104466164
00228AA5-78F0-E311-956D-005056B06EB4,C36B6737-C539-E911-80FC-001DD8B72B61,OV-MATCH-Welkom@Voka - oktober 2019,98.16070229221138
00228AA5-78F0-E311-956D-005056B06EB4,784EFAEF-AF36-EA11-810A-001DD8B72B61,Voka Netwekkers Digitaal - 10 juni 2020,98.1161590974935
00228AA5-78F0-E311-956D-005056B06EB4,53D87EB7-CE48-EA11-810B-001DD8B72B61,Lunchmeeting Lobby met Niko Demeester - 27 augustus 2020,98.11530813651625
00228AA5-78F0-E311-956D-005056B06EB4,C842861B-9AA0-ED11-AAD1-6045BD895B5A,OV-NW/AO-AIO-Matchmaking-XpertFinder-HRTech-voorjaar 2023,98.1146584590458
00228AA5-78F0-E311-956D-005056B06EB4,35FBBE79-141E-E911-80FA-001DD8B72B62,Lunchmeeting Niko Demeester,98.09978586762831
00228AA5-78F0-E311-956D-005056B06EB4,D676D47C-C56B-ED11-9561-6045BD8952CE,Voka Politica in Lievegem,98.03417865884396
00228AA5-78F0-E311-956D-005056B06EB4,69B6574B-B965-EA11-810F-001DD8B72B62,Voka XpertFinder - Digitalisering,97.76606893834986
00228AA5-78F0-E311-956D-005056B06EB4,7EFDC813-4DBA-EC11-983F-6045BD8C5B6B,Lunchmeeting met Banque de Luxembourg - woensdag 15 juni,97.71512798939517
00228AA5-78F0-E311-956D-005056B06EB4,84F841B9-CC43-ED11-BBA2-6045BD8956C9,Lunchmeeting met Frank Beckx op 3 maart 2023,97.71009031302069
00228AA5-78F0-E311-956D-005056B06EB4,A37966A8-0D7C-EB11-811D-001DD8B72B62,Voka Netwekkers Digitaal met Vlaams-Brabant,97.61362820772742
00228AA5-78F0-E311-956D-005056B06EB4,8536D996-C339-E911-80FC-001DD8B72B61,OV-MATCH-Welkom@Voka OVL,97.61343643341563
00228AA5-78F0-E311-956D-005056B06EB4,7D6C1F03-BEA9-EC11-983F-0022488489AB,OV-NW-Voka Politica Nazareth 2022,97.5381445563246
00228AA5-78F0-E311-956D-005056B06EB4,03418937-184E-ED11-BBA2-6045BD8952CE,Regiolunch-Zaken die smaken Meetjesland,97.53111585065714
